Game 1: 
1    5    9    13   17   21   25   29
1111 1111 1111 0000 0000 2222 2222 2222 
1111 1111 1111 0000 0020 2220 2222 2222
1111 1111 1101 0010 0020 2220 2222 2222 
1111 1111 1101 0010 0020 2222 2220 2222
1111 1101 1111 0010 0020 2222 2220 2222
1111 1101 1111 0010 0220 2202 2220 2222
1111 1101 1101 0011 0220 2202 2220 2222
1111 1101 1101 0011 0220 2222 2200 2222
1111 1101 1101 0010 0221 2222 2200 2222
1111 1101 1121 0000 0021 2222 2200 2222
1111 1100 1101 0010 0021 2222 2200 2222
1    5    9    13   17   21   25   29
1111 1100 1101 0010 0221 2202 2200 2222
1111 1100 1101 0011 0220 2200 2210 2222
1111 1100 1121 0001 0020 2200 2210 2222
1111 1100 1021 0101 0020 2200 2210 2222
1111 1100 1021 0101 0020 2202 2200 2202
1111 1000 1121 0101 0020 2202 2200 2202
1111 1000 1121 0101 2020 2002 2200 2202
1111 1000 1121 0001 2120 2002 2200 2202
1111 1000 1121 2001 0120 2002 2200 2202
1011 1100 1121 2001 0120 2002 2200 2202
1011 1120 1101 2001 0120 2002 2200 2202
1011 1120 1001 2101 0120 2002 2200 2202
1411 1100 1001 2101 0120 2002 2200 2202
1411 1100 1001 2101 0020 2012 2200 2202
1    5    9    13   17   21   25   29
1411 1100 1001 2101 0020 2212 0200 2202
1411 1000 1101 2101 0020 2212 0200 2202
1011 1400 1101 2101 0020 2212 0200 2202
1011 1400 1001 2111 0020 2212 0200 2202
1011 1400 1201 2101 0000 2212 0200 2202
1010 1411 1201 2101 0000 2212 0200 2202
1010 1411 1201 2101 0020 2202 0000 2202
1010 1410 1211 2101 0020 2202 0000 2202
1010 1410 1211 2101 0022 2200 0000 2202
1010 1410 1201 2111 0022 2200 0000 2202
